sample_index,batch_size,latency_sec,predicted_class,true_class,correct,exit_id,confidence,protocol_bytes,remote_compute_time_sec,path,worker1_compute_time_sec,worker1_request_bytes,worker1_response_bytes,worker2_compute_time_sec,worker2_request_bytes,worker2_response_bytes,worker3_compute_time_sec,worker3_request_bytes,worker3_response_bytes
25,1,0.4502255916595459,0,5,0,1,0.8747117519378662,2889088,0.26378583908081055,worker1->worker2,0.17506980895996094,787791,1050036,0.08871603012084961,1049955,1306,0.0,0,0
26,1,0.2549309730529785,1,1,1,0,0.9993177652359009,789097,0.17312264442443848,worker1,0.17312264442443848,787791,1306,0.0,0,0,0.0,0,0
27,1,0.2570774555206299,9,9,1,0,0.8434644937515259,789097,0.17534875869750977,worker1,0.17534875869750977,787791,1306,0.0,0,0,0.0,0,0
28,1,0.25724339485168457,4,4,1,0,0.9370764493942261,789097,0.17582297325134277,worker1,0.17582297325134277,787791,1306,0.0,0,0,0.0,0,0
29,1,0.25670671463012695,8,8,1,0,0.9911534190177917,789097,0.17562365531921387,worker1,0.17562365531921387,787791,1306,0.0,0,0,0.0,0,0
30,1,0.45136499404907227,0,5,0,1,0.556452214717865,2889087,0.26520371437072754,worker1->worker2,0.1743302345275879,787791,1050036,0.09087347984313965,1049955,1305,0.0,0,0
31,1,0.44791173934936523,3,3,1,1,0.6402790546417236,2889088,0.26146507263183594,worker1->worker2,0.17266249656677246,787791,1050036,0.08880257606506348,1049955,1306,0.0,0,0
32,1,0.6239519119262695,5,7,0,2,0.6814855337142944,3940494,0.3786458969116211,worker1->worker2->worker3,0.17421627044677734,787791,1050036,0.08851027488708496,1049955,525744,0.11591935157775879,525662,1306
33,1,0.25486207008361816,7,7,1,0,0.7283673286437988,789097,0.17338895797729492,worker1,0.17338895797729492,787791,1306,0.0,0,0,0.0,0,0
34,1,0.25536561012268066,3,3,1,0,0.7617433071136475,789097,0.17473793029785156,worker1,0.17473793029785156,787791,1306,0.0,0,0,0.0,0,0
35,1,0.44934725761413574,3,3,1,1,0.8307145833969116,2889088,0.26398468017578125,worker1->worker2,0.17430901527404785,787791,1050036,0.0896756649017334,1049955,1306,0.0,0,0
36,1,0.25426816940307617,1,1,1,0,0.9995998740196228,789097,0.17244553565979004,worker1,0.17244553565979004,787791,1306,0.0,0,0,0.0,0,0
37,1,0.45365357398986816,5,0,0,1,0.8309710621833801,2889088,0.26474714279174805,worker1->worker2,0.17407631874084473,787791,1050036,0.09067082405090332,1049955,1306,0.0,0,0
38,1,0.2553849220275879,0,0,1,0,0.9881337285041809,789097,0.17352032661437988,worker1,0.17352032661437988,787791,1306,0.0,0,0,0.0,0,0
39,1,0.2550621032714844,7,7,1,0,0.9973477125167847,789097,0.1735548973083496,worker1,0.1735548973083496,787791,1306,0.0,0,0,0.0,0,0
40,1,0.2568972110748291,7,7,1,0,0.8265091180801392,789097,0.17534780502319336,worker1,0.17534780502319336,787791,1306,0.0,0,0,0.0,0,0
41,1,0.25643372535705566,9,9,1,0,0.9710638523101807,789097,0.1748960018157959,worker1,0.1748960018157959,787791,1306,0.0,0,0,0.0,0,0
42,1,0.25610923767089844,7,7,1,0,0.9389880895614624,789097,0.17515134811401367,worker1,0.17515134811401367,787791,1306,0.0,0,0,0.0,0,0
43,1,0.45061564445495605,3,3,1,1,0.9141483306884766,2889088,0.26607275009155273,worker1->worker2,0.17836976051330566,787791,1050036,0.08770298957824707,1049955,1306,0.0,0,0
44,1,0.4466235637664795,4,4,1,1,0.9632068276405334,2889088,0.2606496810913086,worker1->worker2,0.17314743995666504,787791,1050036,0.08750224113464355,1049955,1306,0.0,0,0
45,1,0.25608086585998535,6,6,1,0,0.7951077222824097,789097,0.17435860633850098,worker1,0.17435860633850098,787791,1306,0.0,0,0,0.0,0,0
46,1,0.25638484954833984,6,6,1,0,0.9950501322746277,789097,0.17557883262634277,worker1,0.17557883262634277,787791,1306,0.0,0,0,0.0,0,0
47,1,0.25470542907714844,4,4,1,0,0.9082297682762146,789097,0.17506718635559082,worker1,0.17506718635559082,787791,1306,0.0,0,0,0.0,0,0
48,1,0.25742030143737793,1,1,1,0,0.9993183612823486,789097,0.17592763900756836,worker1,0.17592763900756836,787791,1306,0.0,0,0,0.0,0,0
49,1,0.6208629608154297,3,3,1,2,0.7327686548233032,3940494,0.37442994117736816,worker1->worker2->worker3,0.17685341835021973,787791,1050036,0.08731794357299805,1049955,525744,0.11025857925415039,525662,1306
50,1,0.25880956649780273,8,8,1,0,0.993643045425415,789096,0.17731285095214844,worker1,0.17731285095214844,787791,1305,0.0,0,0,0.0,0,0
51,1,0.2579457759857178,5,5,1,0,0.8610134720802307,789097,0.1760873794555664,worker1,0.1760873794555664,787791,1306,0.0,0,0,0.0,0,0
52,1,0.2584071159362793,3,3,1,0,0.6990159153938293,789097,0.17671704292297363,worker1,0.17671704292297363,787791,1306,0.0,0,0,0.0,0,0
53,1,0.690321683883667,5,4,0,3,0.41997992992401123,3940495,0.4454202651977539,worker1->worker2->worker3,0.1761772632598877,787791,1050036,0.10090088844299316,1049955,525744,0.16834211349487305,525662,1307
54,1,0.25631141662597656,1,9,0,0,0.624315619468689,789096,0.1746656894683838,worker1,0.1746656894683838,787791,1305,0.0,0,0,0.0,0,0
55,1,0.2563900947570801,4,4,1,0,0.6854195594787598,789097,0.17473554611206055,worker1,0.17473554611206055,787791,1306,0.0,0,0,0.0,0,0
56,1,0.5880227088928223,2,2,1,2,0.8161798119544983,3940494,0.3476402759552002,worker1->worker2->worker3,0.17434167861938477,787791,1050036,0.08867979049682617,1049955,525744,0.08461880683898926,525662,1306
57,1,0.25596189498901367,0,0,1,0,0.9155158400535583,789097,0.17441248893737793,worker1,0.17441248893737793,787791,1306,0.0,0,0,0.0,0,0
58,1,0.45302534103393555,6,6,1,1,0.9953071475028992,2889088,0.26784491539001465,worker1->worker2,0.17940306663513184,787791,1050036,0.08844184875488281,1049955,1306,0.0,0,0
59,1,0.25812721252441406,3,5,0,0,0.8213640451431274,789097,0.17699551582336426,worker1,0.17699551582336426,787791,1306,0.0,0,0,0.0,0,0
60,1,0.44667863845825195,3,3,1,1,0.8013634085655212,2889088,0.26107287406921387,worker1->worker2,0.1747760772705078,787791,1050036,0.08629679679870605,1049955,1306,0.0,0,0
61,1,0.2579169273376465,7,7,1,0,0.7814275622367859,789097,0.17636585235595703,worker1,0.17636585235595703,787791,1306,0.0,0,0,0.0,0,0
62,1,0.2610504627227783,5,5,1,0,0.6435758471488953,789097,0.17920827865600586,worker1,0.17920827865600586,787791,1306,0.0,0,0,0.0,0,0
63,1,0.25816893577575684,8,8,1,0,0.8432519435882568,789097,0.17658209800720215,worker1,0.17658209800720215,787791,1306,0.0,0,0,0.0,0,0
64,1,0.4521057605743408,7,7,1,1,0.7606351375579834,2889088,0.2655172348022461,worker1->worker2,0.17914509773254395,787791,1050036,0.08637213706970215,1049955,1306,0.0,0,0
65,1,0.46485090255737305,9,1,0,1,0.8981754183769226,2889088,0.26683568954467773,worker1->worker2,0.1807413101196289,787791,1050036,0.08609437942504883,1049955,1306,0.0,0,0
66,1,0.48274803161621094,5,3,0,1,0.7269901633262634,2889088,0.29431653022766113,worker1->worker2,0.175797700881958,787791,1050036,0.11851882934570312,1049955,1306,0.0,0,0
67,1,0.25481677055358887,8,8,1,0,0.9428319931030273,789097,0.17352771759033203,worker1,0.17352771759033203,787791,1306,0.0,0,0,0.0,0,0
68,1,0.2552361488342285,5,3,0,0,0.8177717924118042,789097,0.17402315139770508,worker1,0.17402315139770508,787791,1306,0.0,0,0,0.0,0,0
69,1,0.6323013305664062,0,0,1,2,0.802249550819397,3940493,0.3870880603790283,worker1->worker2->worker3,0.17422842979431152,787791,1050036,0.0874016284942627,1049955,525744,0.1254580020904541,525662,1305
70,1,0.2555415630340576,5,5,1,0,0.8191059231758118,789097,0.17389130592346191,worker1,0.17389130592346191,787791,1306,0.0,0,0,0.0,0,0
71,1,0.2546842098236084,3,3,1,0,0.7996066212654114,789097,0.17315340042114258,worker1,0.17315340042114258,787791,1306,0.0,0,0,0.0,0,0
72,1,0.256181001663208,5,5,1,0,0.9068790078163147,789097,0.17462658882141113,worker1,0.17462658882141113,787791,1306,0.0,0,0,0.0,0,0
73,1,0.2549424171447754,0,2,0,0,0.5627691745758057,789097,0.17470264434814453,worker1,0.17470264434814453,787791,1306,0.0,0,0,0.0,0,0
74,1,0.25623488426208496,5,5,1,0,0.5755560994148254,789097,0.174652099609375,worker1,0.174652099609375,787791,1306,0.0,0,0,0.0,0,0
75,1,0.2567124366760254,2,2,1,0,0.8175533413887024,789097,0.17505574226379395,worker1,0.17505574226379395,787791,1306,0.0,0,0,0.0,0,0
76,1,0.25705552101135254,2,2,1,0,0.8470441102981567,789097,0.1755211353302002,worker1,0.1755211353302002,787791,1306,0.0,0,0,0.0,0,0
77,1,0.26956820487976074,3,3,1,0,0.7513949275016785,789097,0.17705225944519043,worker1,0.17705225944519043,787791,1306,0.0,0,0,0.0,0,0
78,1,0.44727420806884766,4,4,1,1,0.9701014757156372,2889088,0.2629272937774658,worker1->worker2,0.17403149604797363,787791,1050036,0.08889579772949219,1049955,1306,0.0,0,0
79,1,0.25419116020202637,6,6,1,0,0.7766194343566895,789097,0.1726853847503662,worker1,0.1726853847503662,787791,1306,0.0,0,0,0.0,0,0
80,1,0.25756287574768066,0,0,1,0,0.9806772470474243,789097,0.1764545440673828,worker1,0.1764545440673828,787791,1306,0.0,0,0,0.0,0,0
81,1,0.44677734375,4,4,1,1,0.998805046081543,2889087,0.26151418685913086,worker1->worker2,0.17496371269226074,787791,1050036,0.08655047416687012,1049955,1305,0.0,0,0
82,1,0.25516200065612793,0,0,1,0,0.6965125203132629,789097,0.17389845848083496,worker1,0.17389845848083496,787791,1306,0.0,0,0,0.0,0,0
83,1,0.4474363327026367,5,3,0,1,0.8343879580497742,2889088,0.2604677677154541,worker1->worker2,0.17418384552001953,787791,1050036,0.08628392219543457,1049955,1306,0.0,0,0
84,1,0.4468882083892822,8,8,1,1,0.999142050743103,2889087,0.261049747467041,worker1->worker2,0.17414593696594238,787791,1050036,0.08690381050109863,1049955,1305,0.0,0,0
85,1,0.4452052116394043,3,3,1,1,0.9958482980728149,2889088,0.259521484375,worker1->worker2,0.17311739921569824,787791,1050036,0.08640408515930176,1049955,1306,0.0,0,0
86,1,0.4445374011993408,4,4,1,1,0.9933350086212158,2889088,0.25875377655029297,worker1->worker2,0.17232155799865723,787791,1050036,0.08643221855163574,1049955,1306,0.0,0,0
87,1,0.44542860984802246,5,5,1,1,0.7927595973014832,2889088,0.2592432498931885,worker1->worker2,0.17227911949157715,787791,1050036,0.08696413040161133,1049955,1306,0.0,0,0
88,1,0.2551748752593994,8,9,0,0,0.5221774578094482,789097,0.17378497123718262,worker1,0.17378497123718262,787791,1306,0.0,0,0,0.0,0,0
89,1,0.6218304634094238,6,4,0,2,0.5277234315872192,3940494,0.37395501136779785,worker1->worker2->worker3,0.17574095726013184,787791,1050036,0.08704185485839844,1049955,525744,0.11117219924926758,525662,1306
90,1,0.2547934055328369,9,9,1,0,0.9972876310348511,789097,0.17327141761779785,worker1,0.17327141761779785,787791,1306,0.0,0,0,0.0,0,0
91,1,0.4490625858306885,3,3,1,1,0.9913592338562012,2889088,0.2638094425201416,worker1->worker2,0.17496132850646973,787791,1050036,0.08884811401367188,1049955,1306,0.0,0,0
92,1,0.2561769485473633,1,1,1,0,0.9996510744094849,789097,0.1745915412902832,worker1,0.1745915412902832,787791,1306,0.0,0,0,0.0,0,0
93,1,0.254925012588501,1,1,1,0,0.9760147929191589,789097,0.17338895797729492,worker1,0.17338895797729492,787791,1306,0.0,0,0,0.0,0,0
94,1,0.2611241340637207,4,4,1,0,0.8786406517028809,789097,0.17974567413330078,worker1,0.17974567413330078,787791,1306,0.0,0,0,0.0,0,0
95,1,0.4472215175628662,4,4,1,1,0.854729175567627,2889087,0.26176977157592773,worker1->worker2,0.17524409294128418,787791,1050036,0.08652567863464355,1049955,1305,0.0,0,0
96,1,0.6013834476470947,7,7,1,2,0.9894756078720093,3940494,0.35770440101623535,worker1->worker2->worker3,0.17506980895996094,787791,1050036,0.09958791732788086,1049955,525744,0.08304667472839355,525662,1306
97,1,0.5838537216186523,7,7,1,2,0.5511527061462402,3940494,0.34322571754455566,worker1->worker2->worker3,0.17388629913330078,787791,1050036,0.08908486366271973,1049955,525744,0.08025455474853516,525662,1306
98,1,0.25460338592529297,3,3,1,0,0.8338356614112854,789097,0.17327189445495605,worker1,0.17327189445495605,787791,1306,0.0,0,0,0.0,0,0
99,1,0.4490089416503906,6,2,0,1,0.9303192496299744,2889088,0.2637753486633301,worker1->worker2,0.17489838600158691,787791,1050036,0.08887696266174316,1049955,1306,0.0,0,0
100,1,0.44817376136779785,6,6,1,1,0.7572834491729736,2889100,0.262073278427124,worker1->worker2,0.17552995681762695,787794,1050039,0.08654332160949707,1049958,1309,0.0,0,0
101,1,0.4470953941345215,6,2,0,1,0.9207943677902222,2889100,0.2613356113433838,worker1->worker2,0.1748051643371582,787794,1050039,0.08653044700622559,1049958,1309,0.0,0,0
102,1,0.25748181343078613,9,9,1,0,0.9620527029037476,789103,0.17663288116455078,worker1,0.17663288116455078,787794,1309,0.0,0,0,0.0,0,0
103,1,0.44657230377197266,4,4,1,1,0.97103351354599,2889098,0.2607755661010742,worker1->worker2,0.17414069175720215,787794,1050039,0.08663487434387207,1049958,1307,0.0,0,0
104,1,0.2542088031768799,0,0,1,0,0.9075303673744202,789103,0.17290663719177246,worker1,0.17290663719177246,787794,1309,0.0,0,0,0.0,0,0
105,1,0.44766712188720703,7,7,1,1,0.9040210247039795,2889100,0.2629232406616211,worker1->worker2,0.1764063835144043,787794,1050039,0.0865168571472168,1049958,1309,0.0,0,0
106,1,0.2566967010498047,7,7,1,0,0.9948577880859375,789103,0.1750328540802002,worker1,0.1750328540802002,787794,1309,0.0,0,0,0.0,0,0
107,1,0.25476813316345215,3,3,1,0,0.9568138718605042,789103,0.17325401306152344,worker1,0.17325401306152344,787794,1309,0.0,0,0,0.0,0,0
108,1,0.448392391204834,8,8,1,1,0.9221034049987793,2889100,0.2629256248474121,worker1->worker2,0.17636656761169434,787794,1050039,0.08655905723571777,1049958,1309,0.0,0,0
109,1,0.6128246784210205,6,6,1,2,0.969376802444458,3940511,0.3635129928588867,worker1->worker2->worker3,0.17400431632995605,787794,1050039,0.1033165454864502,1049958,525747,0.08619213104248047,525665,1308
110,1,0.4478023052215576,2,2,1,1,0.7226592302322388,2889100,0.26268839836120605,worker1->worker2,0.17377829551696777,787794,1050039,0.08891010284423828,1049958,1309,0.0,0,0
111,1,0.2562272548675537,9,9,1,0,0.9867401123046875,789103,0.17480731010437012,worker1,0.17480731010437012,787794,1309,0.0,0,0,0.0,0,0
112,1,0.25543999671936035,0,0,1,0,0.8047834634780884,789103,0.17359185218811035,worker1,0.17359185218811035,787794,1309,0.0,0,0,0.0,0,0
113,1,0.26393938064575195,2,2,1,0,0.9299089312553406,789103,0.18225955963134766,worker1,0.18225955963134766,787794,1309,0.0,0,0,0.0,0,0
114,1,0.2566792964935303,2,2,1,0,0.5807420611381531,789103,0.17515230178833008,worker1,0.17515230178833008,787794,1309,0.0,0,0,0.0,0,0
115,1,0.2572908401489258,9,1,0,0,0.9492630362510681,789103,0.176041841506958,worker1,0.176041841506958,787794,1309,0.0,0,0,0.0,0,0
116,1,0.25524258613586426,6,6,1,0,0.9516184329986572,789103,0.17397665977478027,worker1,0.17397665977478027,787794,1309,0.0,0,0,0.0,0,0
117,1,0.44750213623046875,9,9,1,1,0.6948289275169373,2889100,0.26117467880249023,worker1->worker2,0.17519688606262207,787794,1050039,0.08597779273986816,1049958,1309,0.0,0,0
118,1,0.44762420654296875,6,6,1,1,0.9856406450271606,2889100,0.2617051601409912,worker1->worker2,0.17549848556518555,787794,1050039,0.08620667457580566,1049958,1309,0.0,0,0
119,1,0.25546908378601074,0,0,1,0,0.955057680606842,789102,0.17369484901428223,worker1,0.17369484901428223,787794,1308,0.0,0,0,0.0,0,0
120,1,0.4467899799346924,0,0,1,1,0.968824565410614,2889099,0.2614781856536865,worker1->worker2,0.17335057258605957,787794,1050039,0.08812761306762695,1049958,1308,0.0,0,0
121,1,0.44776344299316406,0,0,1,1,0.8333689570426941,2889100,0.26200199127197266,worker1->worker2,0.17434430122375488,787794,1050039,0.08765769004821777,1049958,1309,0.0,0,0
122,1,0.25325942039489746,0,0,1,0,0.9880861043930054,789103,0.1719810962677002,worker1,0.1719810962677002,787794,1309,0.0,0,0,0.0,0,0
123,1,0.25778961181640625,4,2,0,0,0.8718162178993225,789103,0.17636322975158691,worker1,0.17636322975158691,787794,1309,0.0,0,0,0.0,0,0
124,1,0.256955623626709,9,9,1,0,0.9969227910041809,789103,0.1754310131072998,worker1,0.1754310131072998,787794,1309,0.0,0,0,0.0,0,0
125,1,0.2576591968536377,4,4,1,0,0.8071087598800659,789103,0.17602038383483887,worker1,0.17602038383483887,787794,1309,0.0,0,0,0.0,0,0
126,1,0.2554967403411865,5,5,1,0,0.609040379524231,789102,0.17398738861083984,worker1,0.17398738861083984,787794,1308,0.0,0,0,0.0,0,0
127,1,0.2592465877532959,4,4,1,0,0.9623032212257385,789103,0.17789578437805176,worker1,0.17789578437805176,787794,1309,0.0,0,0,0.0,0,0
128,1,0.25597429275512695,0,9,0,0,0.9031755924224854,789103,0.1749260425567627,worker1,0.1749260425567627,787794,1309,0.0,0,0,0.0,0,0
129,1,0.2584404945373535,8,8,1,0,0.9309452772140503,789103,0.17805194854736328,worker1,0.17805194854736328,787794,1309,0.0,0,0,0.0,0,0
130,1,0.627197265625,7,7,1,2,0.7332895994186401,3940512,0.37953805923461914,worker1->worker2->worker3,0.17605257034301758,787794,1050039,0.08660340309143066,1049958,525747,0.1168820858001709,525665,1309
131,1,0.45047807693481445,0,0,1,1,0.9993517994880676,2889100,0.2646982669830322,worker1->worker2,0.17566490173339844,787794,1050039,0.08903336524963379,1049958,1309,0.0,0,0
132,1,0.44661879539489746,4,4,1,1,0.9610158205032349,2889100,0.26064443588256836,worker1->worker2,0.17355132102966309,787794,1050039,0.08709311485290527,1049958,1309,0.0,0,0
133,1,0.4487125873565674,2,2,1,1,0.9327319860458374,2889100,0.26259636878967285,worker1->worker2,0.17570710182189941,787794,1050039,0.08688926696777344,1049958,1309,0.0,0,0
134,1,0.2553112506866455,8,8,1,0,0.9839261770248413,789103,0.17387771606445312,worker1,0.17387771606445312,787794,1309,0.0,0,0,0.0,0,0
135,1,0.4476313591003418,2,2,1,1,0.8851087689399719,2889100,0.2617018222808838,worker1->worker2,0.1748511791229248,787794,1050039,0.08685064315795898,1049958,1309,0.0,0,0
136,1,0.2586073875427246,9,9,1,0,0.8921256065368652,789103,0.17687273025512695,worker1,0.17687273025512695,787794,1309,0.0,0,0,0.0,0,0
137,1,0.5827343463897705,5,7,0,2,0.8217565417289734,3940512,0.34209156036376953,worker1->worker2->worker3,0.17592239379882812,787794,1050039,0.08676314353942871,1049958,525747,0.0794060230255127,525665,1309
138,1,0.5879759788513184,6,4,0,2,0.8348691463470459,3940512,0.34742212295532227,worker1->worker2->worker3,0.17753386497497559,787794,1050039,0.0890507698059082,1049958,525747,0.08083748817443848,525665,1309
139,1,0.44966745376586914,9,9,1,1,0.7912794351577759,2889100,0.26376962661743164,worker1->worker2,0.17464756965637207,787794,1050039,0.08912205696105957,1049958,1309,0.0,0,0
140,1,0.2575564384460449,9,9,1,0,0.7443522810935974,789103,0.17607426643371582,worker1,0.17607426643371582,787794,1309,0.0,0,0,0.0,0,0
141,1,0.2559325695037842,9,9,1,0,0.9919895529747009,789103,0.17488956451416016,worker1,0.17488956451416016,787794,1309,0.0,0,0,0.0,0,0
142,1,0.2579689025878906,8,8,1,0,0.9963294863700867,789103,0.17777633666992188,worker1,0.17777633666992188,787794,1309,0.0,0,0,0.0,0,0
143,1,0.4665813446044922,6,6,1,1,0.992301344871521,2889099,0.2732415199279785,worker1->worker2,0.17736268043518066,787794,1050039,0.09587883949279785,1049958,1308,0.0,0,0
144,1,0.4606494903564453,2,2,1,1,0.6715103387832642,2889100,0.27482008934020996,worker1->worker2,0.17363572120666504,787794,1050039,0.10118436813354492,1049958,1309,0.0,0,0
145,1,0.4501769542694092,8,0,0,1,0.894231915473938,2889099,0.2635502815246582,worker1->worker2,0.17542695999145508,787794,1050039,0.08812332153320312,1049958,1308,0.0,0,0
146,1,0.25693321228027344,0,0,1,0,0.9309495687484741,789103,0.1756303310394287,worker1,0.1756303310394287,787794,1309,0.0,0,0,0.0,0,0
147,1,0.25739026069641113,9,9,1,0,0.9985295534133911,789103,0.17585492134094238,worker1,0.17585492134094238,787794,1309,0.0,0,0,0.0,0,0
148,1,0.25626397132873535,2,2,1,0,0.9684857130050659,789103,0.1747748851776123,worker1,0.1747748851776123,787794,1309,0.0,0,0,0.0,0,0
149,1,0.25954103469848633,8,8,1,0,0.7261728048324585,789103,0.1777641773223877,worker1,0.1777641773223877,787794,1309,0.0,0,0,0.0,0,0
150,1,0.2560131549835205,5,5,1,0,0.7818180322647095,789103,0.17445778846740723,worker1,0.17445778846740723,787794,1309,0.0,0,0,0.0,0,0
151,1,0.45073819160461426,3,3,1,1,0.7920231819152832,2889100,0.2652251720428467,worker1->worker2,0.1783292293548584,787794,1050039,0.08689594268798828,1049958,1309,0.0,0,0
152,1,0.25672268867492676,8,8,1,0,0.8944960236549377,789103,0.1749882698059082,worker1,0.1749882698059082,787794,1309,0.0,0,0,0.0,0,0
153,1,0.2570784091949463,9,9,1,0,0.9417381882667542,789103,0.176771879196167,worker1,0.176771879196167,787794,1309,0.0,0,0,0.0,0,0
154,1,0.25724077224731445,9,9,1,0,0.9885985851287842,789103,0.17574143409729004,worker1,0.17574143409729004,787794,1309,0.0,0,0,0.0,0,0
155,1,0.25062990188598633,3,7,0,0,0.604574978351593,789102,0.16909050941467285,worker1,0.16909050941467285,787794,1308,0.0,0,0,0.0,0,0
156,1,0.25450658798217773,8,0,0,0,0.6202570796012878,789103,0.17308855056762695,worker1,0.17308855056762695,787794,1309,0.0,0,0,0.0,0,0
157,1,0.2527482509613037,3,3,1,0,0.7361286282539368,789103,0.17126965522766113,worker1,0.17126965522766113,787794,1309,0.0,0,0,0.0,0,0
158,1,0.25424742698669434,3,3,1,0,0.8219387531280518,789103,0.17258596420288086,worker1,0.17258596420288086,787794,1309,0.0,0,0,0.0,0,0
159,1,0.252147912979126,7,7,1,0,0.9437308311462402,789103,0.17084121704101562,worker1,0.17084121704101562,787794,1309,0.0,0,0,0.0,0,0
160,1,0.45314931869506836,6,4,0,1,0.7351754903793335,2889100,0.25959134101867676,worker1->worker2,0.17151260375976562,787794,1050039,0.08807873725891113,1049958,1309,0.0,0,0
161,1,0.5971755981445312,4,4,1,2,0.9785107374191284,3940512,0.35249996185302734,worker1->worker2->worker3,0.176499605178833,787794,1050039,0.08612632751464844,1049958,525747,0.0898740291595459,525665,1309
162,1,0.4495525360107422,6,6,1,1,0.9928396940231323,2889100,0.262829065322876,worker1->worker2,0.17240643501281738,787794,1050039,0.0904226303100586,1049958,1309,0.0,0,0
163,1,0.254086971282959,2,6,0,0,0.7387781739234924,789103,0.17227387428283691,worker1,0.17227387428283691,787794,1309,0.0,0,0,0.0,0,0
164,1,0.2497386932373047,2,2,1,0,0.9812869429588318,789103,0.16864752769470215,worker1,0.16864752769470215,787794,1309,0.0,0,0,0.0,0,0
